Date,Open,High,Low,Close,Volume,Adj Close,sma10,sma20,bb10_lower,bb10_upper,bb20_lower,bb20_upper,volume_price,daily_return,momentum5,momentum10
2010-01-04,36.95,37.32,36.82,37.32,13303600,33.56679,,,,,,,396332.208114,,,
2010-01-05,37.38,37.43,36.8,37.0,21396400,33.27897,,,,,,,642940.571779,-0.00857454644903,,
2010-01-06,36.8,37.5,36.8,37.5,18720600,33.72869,,,,,,,555034.89759,0.0135136393945,,
2010-01-07,37.27,37.45,37.07,37.15,10964600,33.41389,,,,,,,328144.972046,-0.00933330052249,,
2010-01-08,37.16,37.39,36.86,36.95,14624200,33.234,,,,,,,440037.311187,-0.00538368923822,,
2010-01-11,37.21,37.34,36.62,36.83,15317700,33.12607,,,,,,,462406.195483,-0.00324757778179,0.986870356087,
2010-01-12,36.59,36.68,36.04,36.36,14886200,32.70334,,,,,,,455188.980697,-0.012761248165,0.982702890144,
2010-01-13,36.56,36.74,35.84,36.3,23228200,32.64937,,,,,,,711444.049303,-0.00165029015385,0.967999943075,
2010-01-14,36.28,36.46,35.56,35.67,20073400,32.08273,,,,,,,625676.181547,-0.0173553119095,0.960161477757,
2010-01-15,35.57,36.1,35.51,35.75,21169000,32.15468,32.993853,32.993853,31.8510417081,34.1366642919,,,658348.955735,0.00224263957587,0.967523620389,
2010-01-18,35.9,36.67,35.77,36.55,23168400,32.87423,32.924597,32.924597,31.8544716427,33.9947223573,,,704758.712219,0.0223777689593,0.992397528593,0.979367702423
2010-01-19,36.45,36.65,36.24,36.38,16895900,32.72133,32.868833,32.868833,31.8229373936,33.9147286064,,,516357.373004,-0.00465105950771,1.00055009672,0.983243471778
2010-01-20,35.53,36.15,35.26,35.45,18757500,31.88485,32.684449,32.684449,31.6624327938,33.7064652062,,,588288.795462,-0.0255637530626,0.976583927959,0.945333186673
2010-01-21,35.58,35.7,34.29,34.33,24553000,30.87749,32.430809,32.430809,31.0260792605,33.8355387395,,,795174.737325,-0.0315936879113,0.962433371474,0.924091448197
2010-01-22,34.45,34.8,34.06,34.75,19025100,31.25525,32.232934,32.232934,30.7746053195,33.6912626805,,,608700.938242,0.012234155043,0.972028022048,0.940460071012
2010-01-26,34.29,34.34,33.65,33.9,20281200,30.49074,31.969401,31.969401,30.2923430848,33.6464589152,,,665159.323782,-0.0244602106846,0.927496704866,0.920445437687
2010-01-27,33.9,34.29,33.51,34.11,19908600,30.67962,31.767029,31.767029,29.9977225919,33.5363354081,,,648919.380357,0.00619466762696,0.937603086427,0.938118858808
2010-01-28,34.6,34.69,33.87,34.61,13819200,31.12933,31.615025,31.615025,29.923137975,33.306912025,,,443928.603667,0.0146582649981,0.976304734066,0.95344351208
2010-01-29,34.97,35.05,33.93,34.17,16106700,30.73358,31.48011,31.48011,29.7395148801,33.2207051199,,,524074.969463,-0.0127130908375,0.995339323242,0.957947780628
2010-02-01,34.29,34.49,33.9,34.3,15869300,30.85051,31.349693,31.349693,29.6385496367,33.0608363633,29.1471644837,33.5522215163,514393.441146,0.0038046332383,0.987050495517,0.959440740819
2010-02-02,34.51,34.67,34.06,34.1,15289600,30.67062,31.129332,31.129332,29.7566843567,32.5019796433,28.9321628057,33.3265011943,498509.648647,-0.00583102191828,1.00589949604,0.932968468007
2010-02-03,34.05,34.18,33.73,34.04,16091200,30.61666,30.918865,30.918865,30.0956531708,31.7420768292,28.7184860609,33.1192439391,525570.065448,-0.00175933841572,0.997947823343,0.93567895926
2010-02-04,33.84,33.94,32.12,32.3,24280300,29.05164,30.635544,30.635544,29.4289935175,31.8420944825,28.2684142178,33.0026737822,835763.488739,-0.0511166142878,0.933256192793,0.911142439121
2010-02-05,31.8,32.27,30.72,31.52,29033800,28.35009,30.382804,30.382804,28.5207315353,32.2448764647,27.7385281053,33.0270798947,1024116.67829,-0.0241483785425,0.92244671789,0.918147491911
2010-02-08,31.8,32.26,31.42,31.74,18684700,28.54796,30.112075,30.112075,28.0385375223,32.1856124777,27.3230232854,32.9011267146,654502.108032,0.006979519289,0.92536428085,0.913381271946
2010-02-09,32.2,32.68,32.1,32.24,18104200,28.99768,29.962769,29.962769,27.7974287929,32.1281092071,27.1714060728,32.7541319272,624332.705237,0.0157531396289,0.945454640304,0.951032346214
2010-02-10,32.45,32.73,31.77,32.64,21909900,29.35745,29.830552,29.830552,27.6985426856,31.9625613144,27.0767790535,32.5843249465,746314.819577,0.0124068546173,0.958871738459,0.95690396426
2010-02-11,32.89,33.47,32.73,33.36,24110900,30.00504,29.718123,29.718123,27.7808267935,31.6554192065,27.0872823436,32.3489636564,803561.668306,0.0220587959785,1.03281742442,0.963883257365
2010-02-12,33.28,34.02,32.95,33.8,19127100,30.40079,29.684844,29.684844,27.8148090952,31.5548789048,27.1384335495,32.2312544505,629164.571052,0.0131894508389,1.07233486737,0.989171778882
2010-02-17,34.16,34.5,34.03,34.25,16622400,30.80554,29.680347,29.680347,27.8225946188,31.5380993812,27.2400318669,32.1206621331,539591.255339,0.0133137987533,1.07908025652,0.998542325556
2010-02-18,34.24,34.69,33.82,34.69,17017800,31.20128,29.733413,29.733413,27.725679577,31.741146423,27.5304461901,31.9363798099,545419.93149,0.0128463906168,1.07599228628,1.01730189999
2010-02-19,34.42,34.65,34.16,34.35,11889400,30.89548,29.761295,29.761295,27.6922387728,31.8303512272,27.8223939469,31.7001960531,384826.518313,-0.0098008799639,1.05238976818,1.00910680656
2010-02-22,34.5,34.89,34.41,34.65,19817500,31.16531,29.972662,29.972662,27.7967204593,32.1486035407,28.1301433888,31.8151806112,635883.294599,0.00873364000171,1.03866917025,1.07275561724
2010-02-23,34.41,34.65,34.0,34.19,16937500,30.75157,30.21281,30.21281,28.3212649839,32.1043550161,28.3776953914,32.0479246086,550784.886755,-0.0132756580955,1.01153851594,1.08470802033
2010-02-24,34.29,34.35,33.64,33.94,13563100,30.52671,30.410685,30.410685,28.9221162222,31.8992537778,28.6274013531,32.1939686469,444302.710643,-0.00731214698957,0.99094870598,1.06931318385
2010-02-25,33.48,34.5,33.26,34.38,18650100,30.92246,30.603163,30.603163,29.4716966987,31.7346293013,28.7978737341,32.4084522659,603124.719055,0.0129640567228,0.991063828151,1.0663770343
2010-02-26,34.59,34.75,34.21,34.61,17804300,31.12933,30.780351,30.780351,30.0226993827,31.5380026173,28.9433359725,32.6173660275,571946.135686,0.006689959337,1.00756906836,1.06035537828
2010-03-01,34.82,35.05,34.42,34.93,16959300,31.41715,30.921562,30.921562,30.2903088216,31.5528151784,29.0531305859,32.7899934141,539810.262866,0.0092459426528,1.00808077956,1.04706242685
2010-03-02,35.34,35.52,35.12,35.12,17108100,31.58804,31.040287,31.040287,30.3978560313,31.6827179687,29.0945460726,32.9860279274,541600.555147,0.00543938581316,1.02720088763,1.03905326144
2010-03-03,35.48,35.82,35.05,35.15,19957600,31.61503,31.121236,31.121236,30.4099584507,31.8325135493,29.1063224043,33.1361495957,631269.367766,0.00085443731235,1.03565140167,1.02627741633
2010-03-04,35.39,35.49,34.81,35.2,14068900,31.66,31.167108,31.167108,30.3779797484,31.9562362516,29.077118336,33.257097664,444374.60518,0.00142242471382,1.02385127186,1.01470196095
2010-03-05,35.69,35.92,35.4,35.81,28235000,32.20865,31.298425,31.298425,30.3007133813,32.2961366187,29.0653816195,33.5314683805,876627.862391,0.0173294377764,1.03467212433,1.04250362836
2010-03-08,35.83,35.99,35.41,35.7,15902100,32.10971,31.392865,31.392865,30.2791148427,32.5066151573,29.167225172,33.618504828,495242.7163,-0.00307184560669,1.02204401099,1.03030292335
2010-03-09,35.5,36.85,35.46,36.5,68696600,32.82926,31.600634,31.600634,30.2654219196,32.9358460804,29.4636450494,33.7376229506,2092541.83615,0.0224091092694,1.03929398595,1.06756370488
2010-03-10,37.06,37.16,36.65,37.0,32196400,33.27897,31.87586,31.87586,30.397529728,33.354190272,29.7915018102,33.9602181898,967469.846573,0.0136984507113,1.05263129594,1.09015907708
2010-03-11,36.93,37.47,36.81,37.05,19449600,33.32394,32.116008,32.116008,30.5484849161,33.6835310839,30.0716305839,34.1603854161,583652.473267,0.00135130384144,1.05255653822,1.07766135036
2010-03-12,37.2,37.41,37.06,37.06,13940300,33.33294,32.336369,32.336369,30.7657584031,33.9069795969,30.3391140034,34.3336239966,418213.934924,0.000270076107447,1.03490646146,1.07078886696
2010-03-15,36.77,37.23,36.47,36.77,19839600,33.0721,32.501864,32.501864,31.0152137326,33.9885142674,30.5360432318,34.4676847682,599889.3327,-0.00782529233845,1.02997193061,1.05267664317
2010-03-16,36.93,37.21,36.7,37.21,12807500,33.46785,32.689845,32.689845,31.2418615171,34.1378284829,30.6766621919,34.7030278081,382680.692067,0.0119662797343,1.01945185484,1.0595101817
2010-03-17,37.26,37.48,36.93,37.15,10298100,33.41389,32.869731,32.869731,31.5765178573,34.1629441427,30.8081840698,34.9312779302,308198.177465,-0.00161229358922,1.00405421201,1.05689888638
2010-03-18,37.14,37.4,36.76,37.02,12061700,33.29696,33.033427,33.033427,32.0414565154,34.0253974846,30.9292520554,35.1376019446,362246.283144,-0.00349944289635,0.999190371847,1.05170435881
2010-03-19,37.0,37.09,36.16,36.23,24306500,32.58641,33.071203,33.071203,32.1970534877,33.9453525123,31.0361040196,35.1063019804,745909.107508,-0.0213397859745,0.977603835725,1.01172852634
2010-03-22,35.61,36.36,35.5,36.24,13489200,32.59541,33.119773,33.119773,32.4538971948,33.7856488052,31.1356426083,35.1039033917,413837.408396,0.00027618875476,0.985586340148,1.01512626554
2010-03-23,36.38,36.42,35.71,35.82,17207000,32.21764,33.058611,33.058611,32.192029705,33.925192295,31.2044871664,34.9127348336,534086.295582,-0.0115896686067,0.962644448329,0.981369668399
2010-03-24,36.12,36.57,35.6,36.09,18683500,32.46049,32.976763,32.976763,32.0501522684,33.9033737316,31.3282172473,34.6253087527,575576.647179,0.00753779606452,0.971466955808,0.975405488812
2010-03-25,36.33,36.43,35.2,35.2,17698800,31.66,32.810369,32.810369,31.605134112,34.015603888,31.2743073621,34.3464306379,559027.163613,-0.0246604410469,0.950837553939,0.950067729086
2010-03-26,35.43,35.55,34.3,34.5,28820300,31.03039,32.580114,32.580114,30.997794859,34.162433141,31.0254402976,34.1347877024,928776.596105,-0.0198866077069,0.952249419313,0.930922684888
2010-03-29,34.74,35.2,34.12,34.9,19312800,31.39017,32.411921,32.411921,30.7090568975,34.1147851025,30.853401605,33.970440395,615249.933339,0.0115944401601,0.963024241757,0.949143537907
2010-03-30,35.09,35.3,34.76,34.8,12365900,31.30022,32.195158,32.195158,30.538459822,33.851856178,30.5980215866,33.7922944134,395073.900439,-0.00286554676193,0.971524295386,0.93523246937
2010-03-31,34.6,35.39,34.51,35.39,16551700,31.83089,32.036858,32.036858,30.6113359502,33.4623800498,30.4604835988,33.6132324012,519988.602267,0.0169541939322,0.980604112877,0.952624492389
2010-04-01,35.66,35.9,35.55,35.75,13721900,32.15468,31.92263,31.92263,30.7936581726,33.0516018274,30.3835830466,33.4616769534,426746.588677,0.0101721943684,1.01562476311,0.965694165473
2010-04-05,35.95,36.25,35.82,36.01,12120300,32.38853,31.902842,31.902842,30.8195666389,32.9861173611,30.3683276001,33.4373563999,374215.81035,0.007272658288,1.04376806092,0.993927529912
2010-04-06,35.92,36.41,35.83,36.08,13410200,32.4515,31.888451,31.888451,30.8429003103,32.9340016897,30.3640498433,33.4128521567,413238.217032,0.00194420679173,1.03381090322,0.995584961195
